'milliseconds','x','y','z'
1383991057145,-8.0,0.0,10.0
1383991057158,-7.666893482208252,0.0,9.997278213500977
1383991057175,-7.33401346206665,0.0,9.991835594177246
1383991057191,-7.001359939575195,0.0,9.983674049377441
1383991057208,-6.6689324378967285,0.0,9.972796440124512
1383991057225,-6.33673095703125,0.0,9.959203720092773
1383991057241,-6.00475549697876,0.0,9.94289779663086
1383991057258,-5.673006057739258,0.0,9.923881530761719
1383991057275,-5.341482162475586,0.0,9.902155876159668
1383991057291,-5.010183811187744,0.0,9.87772274017334
1383991057308,-4.679110527038574,0.0,9.850584030151367
1383991057325,-4.348262786865234,0.0,9.820741653442383
1383991057341,-4.017640113830566,0.0,9.788196563720703
1383991057358,-3.687242031097412,0.0,9.752951622009277
1383991057375,-3.3570687770843506,0.0,9.715008735656738
1383991057391,-3.0271201133728027,0.0,9.674368858337402
1383991057408,-2.6973958015441895,0.0,9.631034851074219
1383991057425,-2.3678956031799316,0.0,9.585007667541504
1383991057441,-2.0386195182800293,0.0,9.536290168762207
1383991057458,-1.7095675468444824,0.0,9.484883308410645
1383991057475,-1.3807393312454224,0.0,9.43078899383545
1383991057491,-1.0521347522735596,0.0,9.374009132385254
1383991057508,-0.7237536907196045,0.0,9.314545631408691
1383991057525,-0.3955959677696228,0.0,9.252400398254395
1383991057541,-0.06766143441200256,0.0,9.187575340270996
1383991057558,0.26005005836486816,0.0,9.120072364807129
1383991057575,0.5875386595726013,0.0,9.049893379211426
1383991057591,0.9148045182228088,0.0,8.977039337158203
1383991057608,1.2418477535247803,0.0,8.90151309967041
1383991057625,1.5686686038970947,0.0,8.823315620422363
1383991057641,1.895267128944397,0.0,8.742448806762695
1383991057658,2.2216434478759766,0.0,8.658915519714355
1383991057675,2.547797918319702,0.0,8.57271671295166
1383991057691,2.873730421066284,0.0,8.483854293823242
1383991057708,3.199441432952881,0.0,8.392330169677734
1383991057725,3.524930715560913,0.0,8.29814624786377
1383991057741,3.850198745727539,0.0,8.201303482055664
1383991057758,4.17524528503418,0.0,8.101804733276367
1383991057775,4.500071048736572,0.0,7.9996514320373535
1383991057791,4.824675559997559,0.0,7.894845485687256
1383991057808,5.149059295654297,0.0,7.787388324737549
1383991057825,5.473222732543945,0.0,7.677281856536865
1383991057841,5.797165393829346,0.0,7.564528465270996
1383991057858,6.120887756347656,0.0,7.449129581451416
1383991057875,6.444390296936035,0.0,7.3310866355896
1383991057891,6.767672538757324,0.0,7.210402011871338
1383991057908,7.090734958648682,0.0,7.0870771408081055
1383991057925,7.413577556610107,0.0,6.961113929748535
1383991057941,7.73620080947876,0.0,6.83251428604126
1383991057958,8.05860424041748,0.0,6.701279640197754
1383991057975,8.380788803100586,0.0,6.56741189956665
1383991057991,8.702754020690918,0.0,6.430912971496582
1383991058008,8.375910758972168,-2.4597259198344545e-06,6.3401947021484375
1383991058025,8.04928970336914,-4.917778824164998e-06,6.246816158294678
1383991058041,7.722890853881836,-7.374159849860007e-06,6.150778770446777
1383991058058,7.396714210510254,-9.82887013378786e-06,6.052084445953369
1383991058075,7.070759296417236,-1.2281911040190607e-05,5.950735092163086
1383991058091,6.745026111602783,-1.4733283023815602e-05,5.8467326164245605
1383991058108,6.4195146560668945,-1.718298881314695e-05,5.740078449249268
1383991058125,6.094224452972412,-1.9631028408184648e-05,5.63077449798584
1383991058141,5.769155502319336,-2.2077401808928698e-05,5.51882266998291
1383991058158,5.444307804107666,-2.4522110834368505e-05,5.404224872589111
1383991058175,5.119680881500244,-2.696515730349347e-05,5.286983013153076
1383991058191,4.79527473449707,-2.9406543035292998e-05,5.167098522186279
1383991058208,4.4710893630981445,-3.1846266210777685e-05,5.0445733070373535
1383991058225,4.147124290466309,-3.428433046792634e-05,4.919409275054932
1383991058241,3.8233795166015625,-3.6720739444717765e-05,4.791607856750488
1383991058258,3.4998550415039062,-3.915548950317316e-05,4.6611714363098145
1383991058275,3.1765506267547607,-4.1588584281271324e-05,4.528101444244385
1383991058291,2.853466033935547,-4.402002377901226e-05,4.392399787902832
1383991058308,2.5306012630462646,-4.6449807996395975e-05,4.254068374633789
1383991058325,2.207956075668335,-4.887794057140127e-05,4.1131086349487305
1383991058341,1.8855303525924683,-5.130442150402814e-05,3.969522476196289
1383991058358,1.563323974609375,-5.3729250794276595e-05,3.8233118057250977
1383991058375,1.241336703300476,-5.6152432080125436e-05,3.67447829246521
1383991058391,0.9195684194564819,-5.8573965361574665e-05,3.523023843765259
1383991058408,0.5980189442634583,-6.099385063862428e-05,3.368950128555298
1383991058425,0.27668818831443787,-6.341208791127428e-05,3.21225905418396
1383991058441,-0.04442402720451355,-6.582868081750348e-05,3.052952289581299
1383991058458,-0.36531785130500793,-6.824363663326949e-05,2.8910317420959473
1383991058475,-0.6859934329986572,-7.065694808261469e-05,2.726499080657959
1383991058491,-1.006450891494751,-7.306861516553909e-05,2.559356212615967
1383991058508,-1.326690435409546,-7.547864515800029e-05,2.3896048069000244
1383991058525,-1.646712064743042,-7.788703078404069e-05,2.2172465324401855
1383991058541,-1.9665160179138184,-8.02937793196179e-05,2.042283296585083
1383991058558,-2.286102533340454,-8.269889076473191e-05,1.86471688747406
1383991058575,-2.605471611022949,-8.510237239534035e-05,1.6845489740371704
1383991058591,-2.924623489379883,-8.75042169354856e-05,1.5017814636230469
1383991058608,-3.243558406829834,-8.990442438516766e-05,1.3164160251617432
1383991058625,-3.5622763633728027,-9.230300202034414e-05,1.1284544467926025
1383991058641,-3.880777597427368,-9.469994984101504e-05,0.9378984570503235
1383991058658,-4.199062347412109,-9.709526784718037e-05,0.7447498440742493
1383991058675,-4.517130374908447,-9.948895603884012e-05,0.5490103960037231
1383991058691,-4.834981918334961,-0.00010188101441599429,0.3506818413734436
1383991058708,-5.152617454528809,-0.00010427144297864288,0.1497659832239151
1383991058725,-5.47003698348999,-0.00010666024900274351,-0.05373544991016388
1383991058741,-5.787240505218506,-0.00010904743248829618,-0.25982069969177246
1383991058758,-6.104228496551514,-0.00011143298615934327,-0.4684879779815674
1383991058775,-6.421000957489014,-0.0001138169172918424,-0.679735541343689
1383991058791,-6.737557888031006,-0.00011619923316175118,-0.893561601638794
1383991058808,-7.05389928817749,-0.000118579926493112,-1.1099644899368286
1383991058825,-7.370025634765625,-0.00012095899728592485,-1.3289424180984497
1383991058841,-7.634069442749023,-0.0012715557822957635,-1.3210515975952148
1383991058858,-7.888504505157471,-0.0029921799432486296,-1.3150612115859985
1383991058875,-8.131962776184082,-0.004554311279207468,-1.3766083717346191
1383991058891,-8.374796867370605,-0.006151612848043442,-1.378139853477478
1383991058908,-8.61591625213623,-0.007999438792467117,-1.324867844581604
1383991058925,-8.856109619140625,-0.009956147521734238,-1.2591369152069092
1383991058941,-9.02127456665039,-0.015671489760279655,-1.1494896411895752
1383991058958,-8.78258991241455,-0.0055770231410861015,-1.1409610509872437
1383991058975,-8.449482917785645,-0.0055770231410861015,-0.9771299362182617
1383991058991,-8.116602897644043,-0.0055770231410861015,-0.8161324858665466
1383991059008,-7.783949375152588,-0.0055770231410861015,-0.6579667329788208
1383991059025,-7.451521873474121,-0.0055770231410861015,-0.5026307702064514
1383991059041,-7.119320392608643,-0.0055770231410861015,-0.35012269020080566
1383991059058,-6.787344932556152,-0.0055770231410861015,-0.20044055581092834
1383991059075,-6.45559549331665,-0.0055770231410861015,-0.05358244478702545
1383991059091,-6.1240715980529785,-0.0055770231410861015,0.09045356512069702
1383991059108,-5.792773246765137,-0.0055770231410861015,0.23166941106319427
1383991059125,-5.461699962615967,-0.0055770231410861015,0.3700670003890991
1383991059141,-5.130852222442627,-0.0055770231410861015,0.5056482553482056
1383991059158,-4.800229072570801,-0.0055770231410861015,0.6384150385856628
1383991059175,-4.4698309898376465,-0.0055770231410861015,0.7683693170547485
1383991059191,-4.139657497406006,-0.0055770231410861015,0.8955129384994507
1383991059208,-3.809708833694458,-0.0055770231410861015,1.0198478698730469
1383991059225,-3.4799845218658447,-0.0055770231410861015,1.14137601852417
1383991059241,-3.150484561920166,-0.0055770231410861015,1.2600992918014526
1383991059258,-2.8212084770202637,-0.0055770231410861015,1.3760195970535278
1383991059275,-2.492156505584717,-0.0055770231410861015,1.4891388416290283
1383991059291,-2.163328170776367,-0.0055770231410861015,1.599458932876587
1383991059315,-1.8347235918045044,-0.0055770231410861015,1.7069817781448364
1383991059327,-1.5063425302505493,-0.0055770231410861015,1.8117092847824097
1383991059341,-1.1781847476959229,-0.0055770231410861015,1.91364324092865
1383991059358,-0.850250244140625,-0.0055770231410861015,2.0127856731414795
1383991059375,-0.5225387811660767,-0.0055770231410861015,2.1091384887695312
1383991059391,-0.1950501799583435,-0.0055770231410861015,2.2027034759521484
1383991059408,0.132215678691864,-0.0055770231410861015,2.293482542037964
1383991059432,0.45925894379615784,-0.0055770231410861015,2.3814778327941895
1383991059441,0.7860797643661499,-0.0055770231410861015,2.466691017150879
1383991059458,1.1126782894134521,-0.0055770231410861015,2.549124002456665
1383991059475,1.4390547275543213,-0.0055770231410861015,2.6287786960601807
1383991059491,1.7652091979980469,-0.0055770231410861015,2.7056570053100586
1383991059508,2.091141700744629,-0.0055770231410861015,2.7797608375549316
1383991059525,2.4168524742126465,-0.0055770231410861015,2.8510918617248535
1383991059541,2.7423417568206787,-0.0055770231410861015,2.919652223587036
1383991059558,3.0676097869873047,-0.0055770231410861015,2.9854438304901123
1383991059575,3.3926565647125244,-0.0055770231410861015,3.0484683513641357
1383991059591,3.717482089996338,-0.0055770231410861015,3.1087276935577393
1383991059608,4.042086601257324,-0.0055770231410861015,3.1662240028381348
1383991059625,4.3664703369140625,-0.0055770231410861015,3.220958948135376
1383991059641,4.690633773803711,-0.0055770231410861015,3.2729344367980957
1383991059658,5.014576435089111,-0.0055770231410861015,3.3221523761749268
1383991059675,5.338298797607422,-0.0055770231410861015,3.368614673614502
1383991059691,5.661801338195801,-0.0055770231410861015,3.412322998046875
1383991059708,5.98508358001709,-0.0055770231410861015,3.453279495239258
1383991059725,6.308145999908447,-0.0055770231410861015,3.491485834121704
1383991059741,6.630988597869873,-0.0055770231410861015,3.5269439220428467
1383991059758,6.953611850738525,-0.0055770231410861015,3.5596556663513184
1383991059775,7.276015281677246,-0.0055770231410861015,3.589622974395752
1383991059791,7.598199844360352,-0.0055770231410861015,3.6168477535247803
1383991059808,7.920165061950684,-0.0055770231410861015,3.641331672668457
1383991059825,8.241910934448242,-0.0055770231410861015,3.663076877593994
1383991059841,8.563438415527344,-0.0055770231410861015,3.6820850372314453
1383991059858,8.884747505187988,-0.0055770231410861015,3.6983580589294434
1383991059875,8.435622215270996,-0.012152153998613358,3.704965591430664
1383991059891,8.131098747253418,-0.018722806125879288,3.7088463306427
1383991059908,7.8267822265625,-0.025288989767432213,3.7100024223327637
1383991059925,7.522672653198242,-0.03185070678591728,3.708435297012329
1383991059941,7.2187700271606445,-0.03840796276926994,3.7041471004486084
1383991059958,6.915074348449707,-0.044960759580135345,3.6971395015716553
1383991059975,6.6115851402282715,-0.05150909721851349,3.6874146461486816
1383991059991,6.308302402496338,-0.05805298313498497,3.674974203109741
1383991060008,6.005225658416748,-0.06459241360425949,3.6598198413848877
1383991060025,5.70235538482666,-0.07112739980220795,3.641953706741333
1383991060041,5.399691104888916,-0.07765793800354004,3.621377468109131
1383991060058,5.097232341766357,-0.08418403565883636,3.598093032836914
1383991060075,4.794979572296143,-0.09070569276809692,3.5721020698547363
1383991060091,4.492932319641113,-0.09722291678190231,3.5434067249298096
1383991060108,4.1910905838012695,-0.10373570770025253,3.5120086669921875
1383991060125,3.889453887939453,-0.11024407297372818,3.477909564971924
1383991060141,3.588022470474243,-0.11674801260232925,3.4411115646362305
1383991060158,3.2867960929870605,-0.12324752658605576,3.401616334915161
1383991060175,2.985774517059326,-0.12974262237548828,3.3594257831573486
1383991060191,2.68495774269104,-0.13623329997062683,3.3145415782928467
1383991060208,2.384345531463623,-0.142719566822052,3.266965627670288
1383991060225,2.083937883377075,-0.1492014080286026,3.2166998386383057
1383991060241,1.7837344408035278,-0.155678853392601,3.1637461185455322
1383991060258,1.483735203742981,-0.16215188801288605,3.1081061363220215
1383991060275,1.183940052986145,-0.1686205118894577,3.0497817993164062
1383991060291,0.8843487501144409,-0.17508473992347717,2.9887750148773193
1383991060308,0.5849612355232239,-0.18154457211494446,2.9250874519348145
1383991060325,0.28577736020088196,-0.18800000846385956,2.8587210178375244
1383991060341,-0.013203024864196777,-0.19445106387138367,2.789677381515503
1383991060358,-0.3119800388813019,-0.2008977234363556,2.717958450317383
1383991060375,-0.6105538606643677,-0.20734000205993652,2.643566131591797
1383991060391,-0.9089245796203613,-0.21377789974212646,2.566502094268799
1383991060408,-1.2070924043655396,-0.22021141648292542,2.4867682456970215
1383991060425,-1.5050573348999023,-0.22664055228233337,2.4043664932250977
1383991060441,-1.8028197288513184,-0.23306532204151154,2.319298505783081
1383991060458,-2.100379467010498,-0.2394857257604599,2.2315661907196045
1383991060475,-2.3977370262145996,-0.24590174853801727,2.141171455383301
1383991060491,-2.694892168045044,-0.25231340527534485,2.0481159687042236
1383991060508,-2.99184513092041,-0.2587206959724426,1.9524015188217163
1383991060525,-3.2885961532592773,-0.2651236355304718,1.854029893875122
1383991060541,-3.5851454734802246,-0.2715222239494324,1.7530030012130737
1383991060558,-3.881493091583252,-0.27791646122932434,1.649322509765625
1383991060575,-4.177639007568359,-0.2843063473701477,1.5429903268814087
1383991060591,-4.473583698272705,-0.29069188237190247,1.434008240699768
1383991060608,-4.769327163696289,-0.297073096036911,1.3223780393600464
1383991060625,-5.064869403839111,-0.30344995856285095,1.2081016302108765
1383991060641,-5.360210418701172,-0.3098224699497223,1.091180682182312
1383991060658,-5.655350685119629,-0.3161906599998474,0.9716169834136963
1383991060675,-5.950290203094482,-0.3225545287132263,0.8494124412536621
1383991060691,-6.245028972625732,-0.3289140462875366,0.724568784236908
1383991060708,-6.539567470550537,-0.3352692425251007,0.5970878005027771
1383991060725,-6.8339056968688965,-0.3416201174259186,0.4669712781906128
1383991060741,-7.1280436515808105,-0.34796667098999023,0.3342210650444031
1383991060758,-7.421981334686279,-0.3543089032173157,0.19883891940116882
1383991060775,-7.715719223022461,-0.3606468439102173,0.060826629400253296
1383991060791,-8.009257316589355,-0.3669804632663727,-0.07981400191783905
1383991060808,-8.302596092224121,-0.37330979108810425,-0.22308120131492615
1383991060825,-8.595735549926758,-0.3796347975730896,-0.36897316575050354
1383991060841,-8.88867473602295,-0.3859555125236511,-0.5174881219863892
1383991060858,-9.181415557861328,-0.39227190613746643,-0.6686242818832397
1383991060875,-8.703425407409668,-0.4409676492214203,-0.8705676794052124
1383991060891,-8.370318412780762,-0.4409676492214203,-0.7067365646362305
1383991060908,-8.03743839263916,-0.4409676492214203,-0.5457391142845154
1383991060925,-7.704784870147705,-0.4409676492214203,-0.38757336139678955
1383991060941,-7.372357368469238,-0.4409676492214203,-0.23223741352558136
1383991060958,-7.04015588760376,-0.4409676492214203,-0.07972933351993561
1383991060975,-6.7081804275512695,-0.4409676492214203,0.06995280086994171
1383991060991,-6.376430988311768,-0.4409676492214203,0.2168109118938446
1383991061008,-6.044907093048096,-0.4409676492214203,0.36084693670272827
1383991061025,-5.713608741760254,-0.4409676492214203,0.5020627975463867
1383991061041,-5.382535457611084,-0.4409676492214203,0.6404603719711304
1383991061058,-5.051687717437744,-0.4409676492214203,0.7760416269302368
